"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1"
"7/1985";1985;7;0,743221;0,682965;0,566436;0,57187;0,599595;0,660418;0,73315;0,735358;0,67483;0,906182;0,162961
"8/1985";1985;8;0,705301;0,719293;0,585406;0,612413;0,630366;0,676822;0,749368;0,767541;0,716602;0,912082;0,206781
"9/1985";1985;9;0,699003;0,719898;0,579985;0,60895;0,62663;0,672633;0,744694;0,75826;0,708834;0,907594;0,208591
"10/1985";1985;10;0,687162;0,743113;0,620218;0,637545;0,654605;0,700864;0,746072;0,774695;0,71855;0,930696;0,243534
"11/1985";1985;11;0,679033;0,738034;0,623901;0,655323;0,668363;0,713662;0,759254;0,78554;0,706808;0,924271;0,245238
"12/1985";1985;12;0,669365;0,75879;0,640851;0,669449;0,676418;0,730509;0,761176;0,796121;0,706768;0,949538;0,280173
"1/1986";1986;1;0,834874;0,70061;0,82579;0,75346;0,672224;0,661441;0,787132;0,710905;0,760792;0,804439;-0,0304349999999999
"2/1986";1986;2;0,816968;0,718889;0,832418;0,759705;0,665455;0,664804;0,784309;0,721028;0,768456;0,813457;-0,00351099999999993
"3/1986";1986;3;0,799212;0,704192;0,835478;0,766413;0,695164;0,687258;0,794482;0,730441;0,793764;0,84214;0,042928
"4/1986";1986;4;0,778647;0,709176;0,807529;0,769033;0,683616;0,692034;0,799591;0,742135;0,803382;0,869855;0,0912080000000001
"5/1986";1986;5;0,773504;0,670761;0,798371;0,784214;0,688465;0,693611;0,814903;0,748527;0,818411;0,895165;0,121661
"6/1986";1986;6;0,777882;0,65635;0,774849;0,782804;0,679496;0,689253;0,810632;0,743452;0,815307;0,88433;0,106448
"7/1986";1986;7;0,785106;0,6591;0,77528;0,793393;0,682938;0,695299;0,823303;0,745965;0,823185;0,880971;0,0958649999999999
"8/1986";1986;8;0,817019;0,602758;0,734514;0,788232;0,623573;0,689133;0,799757;0,687722;0,812141;0,860222;0,0432029999999999
"9/1986";1986;9;0,823129;0,604764;0,730532;0,805561;0,619739;0,685477;0,792324;0,688691;0,810159;0,880612;0,0574829999999998
"10/1986";1986;10;0,859159;0,615099;0,727675;0,801807;0,625209;0,680422;0,824407;0,700747;0,79635;0,855767;-0,00339199999999984
"11/1986";1986;11;0,865864;0,615039;0,726811;0,801659;0,624547;0,680191;0,823892;0,700155;0,795111;0,857334;-0,00852999999999993
"12/1986";1986;12;0,850013;0,599288;0,731577;0,791097;0,622334;0,69303;0,813119;0,709355;0,803728;0,830865;-0,0191480000000001
"1/1987";1987;1;0,676384;0,629711;0,730144;0,754933;0,696022;0,764421;0,695105;0,776654;0,89648;0,896091;0,219707
"2/1987";1987;2;0,617264;0,582083;0,699514;0,759612;0,69714;0,769454;0,689575;0,772078;0,909358;1,024314;0,40705
"3/1987";1987;3;0,639552;0,593389;0,706089;0,766529;0,705033;0,769567;0,680866;0,761096;0,908909;1,017619;0,378067
"4/1987";1987;4;0,622925;0,574879;0,684515;0,745988;0,690813;0,753039;0,67025;0,752588;0,903747;1,035531;0,412606
"5/1987";1987;5;0,639003;0,592223;0,718002;0,80627;0,713922;0,792389;0,714514;0,779554;0,936321;1,041754;0,402751
"6/1987";1987;6;0,635373;0,59611;0,736857;0,807701;0,708565;0,813715;0,716942;0,777975;0,936929;1,037557;0,402184
"7/1987";1987;7;0,626517;0,59265;0,726991;0,813576;0,691351;0,80045;0,71138;0,760689;0,937216;1,061779;0,435262
"8/1987";1987;8;0,614379;0,557472;0,6872;0,788336;0,663353;0,787983;0,684034;0,734229;0,968609;1,061473;0,447094
"9/1987";1987;9;0,571914;0,506988;0,664084;0,750722;0,622486;0,804427;0,685285;0,713924;0,944514;1,153719;0,581805
"10/1987";1987;10;0,571439;0,514997;0,67302;0,757605;0,631362;0,798641;0,695271;0,725273;0,971817;1,157873;0,586434
"11/1987";1987;11;0,53959;0,529801;0,591935;0,617;0,521347;0,644762;0,644315;0,703712;0,863292;1,126091;0,586501
"12/1987";1987;12;0,550928;0,537567;0,559727;0,618745;0,502414;0,622678;0,612651;0,709775;0,869545;1,103752;0,552824
"1/1988";1988;1;0,649444;0,632685;0,556231;0,610883;0,511305;0,587059;0,657153;0,65243;0,774614;1,080577;0,431133
