"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1"
"1/1986";1986;1;-0,013548;0,370174;0,362323;0,45583;0,571457;0,649076;0,391785;0,356166;0,463203;0,602773;0,616321
"2/1986";1986;2;0,027641;0,317739;0,341948;0,407851;0,528823;0,644473;0,399658;0,342588;0,40234;0,575023;0,547382
"3/1986";1986;3;0,034057;0,323685;0,315678;0,419462;0,531939;0,638933;0,398385;0,341511;0,409681;0,579617;0,54556
"4/1986";1986;4;0,040368;0,346047;0,318206;0,437666;0,554339;0,622649;0,379243;0,328713;0,407438;0,613582;0,573214
"5/1986";1986;5;0,146788;0,362472;0,391325;0,373984;0,548324;0,639391;0,391909;0,317666;0,384495;0,630303;0,483515
"6/1986";1986;6;0,154839;0,353708;0,389209;0,375873;0,552725;0,642441;0,392816;0,321109;0,391318;0,630231;0,475392
"7/1986";1986;7;0,188389;0,340789;0,387314;0,346147;0,515679;0,618529;0,397265;0,304148;0,43142;0,631543;0,443154
"8/1986";1986;8;0,271828;0,280063;0,389695;0,325547;0,500808;0,544821;0,411298;0,301389;0,445403;0,627074;0,355246
"9/1986";1986;9;0,233727;0,299447;0,364055;0,307294;0,524504;0,557697;0,422648;0,308336;0,43345;0,626809;0,393082
"10/1986";1986;10;0,232254;0,296444;0,360457;0,302593;0,524401;0,554733;0,422515;0,310955;0,427584;0,625289;0,393035
"11/1986";1986;11;0,251776;0,311728;0,372065;0,295878;0,535949;0,609824;0,449808;0,315394;0,468727;0,601866;0,35009
"12/1986";1986;12;0,25395;0,326869;0,353108;0,318957;0,531692;0,607261;0,470638;0,318982;0,449998;0,586839;0,332889
"1/1987";1987;1;0,271716;0,312031;0,370122;0,339767;0,544591;0,606221;0,49804;0,34538;0,468164;0,594281;0,322565
"2/1987";1987;2;0,255684;0,306232;0,374497;0,348841;0,547128;0,606168;0,49996;0,351106;0,466877;0,59206;0,336376
"3/1987";1987;3;0,207316;0,305578;0,416525;0,342121;0,524709;0,624759;0,529593;0,409629;0,431557;0,5589;0,351584
"4/1987";1987;4;0,214283;0,289113;0,383524;0,306949;0,488163;0,57011;0,487053;0,367554;0,395558;0,5447;0,330417
"5/1987";1987;5;0,221921;0,374128;0,419678;0,372282;0,553116;0,667305;0,574793;0,420372;0,455874;0,628785;0,406864
"6/1987";1987;6;0,199223;0,375588;0,417188;0,382704;0,56243;0,680796;0,58742;0,418019;0,455498;0,638331;0,439108
"7/1987";1987;7;0,209949;0,366556;0,419299;0,381513;0,553968;0,682713;0,58019;0,412737;0,454703;0,631197;0,421248
