"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1";"MOM"
"7/1985";1985;7;-0,08666;-0,19718;-0,1348;0,01434;-0,03196;-0,00169;-0,04767;0,0102;-0,03421;-0,12199;-0,03533;-0,0393
"8/1985";1985;8;-0,09305;-0,17114;-0,10927;0,04329;-0,01878;0,02405;-0,02431;0,03218;-0,00441;-0,10812;-0,01507;0,0177
"9/1985";1985;9;-0,0843;-0,1751;-0,10372;0,04775;-0,01384;0,027;-0,01745;0,03633;-0,00337;-0,09841;-0,01411;0,0148
"10/1985";1985;10;-0,09133;-0,17704;-0,10264;0,05274;-0,00523;0,03535;-0,01166;0,03761;0,00292999999999999;-0,09278;-0,00145000000000001;0,0487
"11/1985";1985;11;-0,14703;-0,16177;-0,11975;0,09045;0,00414;0,05753;0,00419;0,04067;-0,03651;-0,09469;0,05234;-0,0046
"12/1985";1985;12;-0,18318;-0,16205;-0,04605;0,12716;0,07736;0,11084;0,04792;0,07705;0,01203;-0,04658;0,1366;-9e-04
"1/1986";1986;1;-0,19411;-0,15182;-0,00299;0,10568;0,12172;0,21469;0,0888;0,0827;0,0469;-0,08612;0,10799;0,0296
"2/1986";1986;2;-0,24928;-0,07867;0,02163;0,17027;0,17649;0,21907;0,08473;0,09641;0,11926;-0,02785;0,22143;0,027
"3/1986";1986;3;-0,23592;-0,06693;0,00531999999999999;0,19653;0,18106;0,20627;0,07864;0,09294;0,13745;-0,01827;0,21765;0,0246
"4/1986";1986;4;-0,23099;-0,06534;0,00416;0,17604;0,19055;0,20705;0,07757;0,09196;0,13257;-0,0325;0,19849;-0,005
"5/1986";1986;5;-0,24452;-0,079;0,02125;0,15148;0,18162;0,24887;0,0836;0,07407;0,11506;-0,01641;0,22811;0,0203
"6/1986";1986;6;-0,27695;-0,04747;0,01938;0,13955;0,16701;0,23645;0,07489;0,06233;0,08979;-0,01813;0,25882;0,0514
"7/1986";1986;7;-0,25772;0,03498;0,08911;0,09018;0,18315;0,19404;-0,03946;0,16306;0,17625;0,08641;0,34413;0,018
"8/1986";1986;8;-0,24182;0,04906;0,10167;0,10394;0,20557;0,19138;-0,02827;0,15659;0,1673;0,07339;0,31521;-0,0502
"9/1986";1986;9;-0,2452;0,03266;0,12429;0,10016;0,20256;0,17716;-0,00507;0,19249;0,19233;0,08591;0,33111;-0,0586
"10/1986";1986;10;-0,31225;0,09316;0,17514;0,17328;0,2601;0,21359;0,06878;0,22265;0,22754;0,11756;0,42981;0,0269
"11/1986";1986;11;-0,3646;0,09897;0,16118;0,17525;0,23396;0,19535;0,04968;0,25031;0,22824;0,12435;0,48895;-0,0031
"12/1986";1986;12;-0,36229;0,1006;0,16931;0,18226;0,23706;0,20739;0,06174;0,25673;0,23175;0,13497;0,49726;0,0037
"1/1987";1987;1;-0,36573;0,10595;0,17274;0,18928;0,24142;0,21154;0,06536;0,26283;0,23952;0,13935;0,50508;0,0212
"2/1987";1987;2;-0,32942;0,09713;0,17829;0,19298;0,24275;0,2095;0,05982;0,24625;0,22242;0,12432;0,45374;-0,0217
"3/1987";1987;3;-0,34788;0,11471;0,17398;0,18414;0,21991;0,19089;0,07983;0,24481;0,24424;0,12442;0,4723;0,0161
"4/1987";1987;4;-0,34623;0,11578;0,16469;0,17619;0,21369;0,17843;0,0604;0,23251;0,22797;0,10099;0,44722;0,0023
"5/1987";1987;5;-0,34937;0,12585;0,1748;0,19511;0,22992;0,19399;0,07435;0,24935;0,23945;0,10882;0,45819;-0,0073
"6/1987";1987;6;-0,37018;0,12326;0,17086;0,19716;0,2414;0,1976;0,07525;0,25417;0,24966;0,10714;0,47732;-0,002
"7/1987";1987;7;0,3859;0,17261;0,21852;0,12694;0,2693;0,2489;0,16794;0,0536;-0,04225;-0,27939;-0,66529;0,0266
"8/1987";1987;8;0,36411;0,15468;0,18575;0,13295;0,23901;0,20645;0,16367;0,06309;-0,05108;-0,21554;-0,57965;-0,0087
"9/1987";1987;9;0,36776;0,18334;0,19926;0,16671;0,25379;0,213;0,14542;0,07822;-0,03826;-0,23644;-0,6042;0,0071
"10/1987";1987;10;0,35379;0,15381;0,20141;0,17853;0,25216;0,22032;0,14473;0,11198;-0,03649;-0,2319;-0,58569;-0,0789
"11/1987";1987;11;0,31437;0,10042;0,12098;0,15344;0,20805;0,1559;0,1443;0,10184;0,00165999999999998;-0,22857;-0,54294;-0,0117
"12/1987";1987;12;0,31635;0,10714;0,10952;0,1537;0,20693;0,15804;0,17588;0,06078;0,02186;-0,22423;-0,54058;0,0578
"1/1988";1988;1;0,27605;0,12291;0,08193;0,12611;0,16068;0,11253;0,16464;0,04109;0,00512999999999999;-0,22508;-0,50113;-0,0763
"2/1988";1988;2;0,2063;0,10389;0,02808;0,04594;0,04814;0,01456;0,14377;0,06123;0,04267;-0,25659;-0,46289;-0,0155
"3/1988";1988;3;0,19679;0,08882;0,00424000000000001;0,04245;0,05029;0,01727;0,15818;0,02907;0,02835;-0,22674;-0,42353;0,0064
"4/1988";1988;4;0,20347;0,09781;0,00934000000000001;0,04372;0,05153;0,02595;0,16457;0,03488;0,02635;-0,21796;-0,42143;0,0228
"5/1988";1988;5;0,1922;0,0878;0,0036;0,03888;0,05668;0,01857;0,15741;0,03677;0,03915;-0,22529;-0,41749;0,0068
"6/1988";1988;6;0,20746;0,09847;0,01386;0,05298;0,06298;0,03055;0,16253;0,04328;0,04352;-0,2221;-0,42956;-0,0293
"7/1988";1988;7;0,05595;0,12649;0,16802;0,09144;-0,02808;0,09345;0,05889;-0,07696;-0,02835;-0,05154;-0,10749;0,0061
"8/1988";1988;8;0,05378;0,14173;0,18095;0,09281;-0,00859000000000001;0,09969;0,06124;-0,07229;-0,03561;-0,06837;-0,12215;0,0031
"9/1988";1988;9;0,03449;0,11233;0,14485;0,05034;-0,04515;0,06362;0,02781;-0,08852;-0,04331;-0,11109;-0,14558;0,0027
"10/1988";1988;10;0,03648;0,11396;0,14986;0,0506;-0,042;0,06612;0,03173;-0,08821;-0,04316;-0,11136;-0,14784;0,0131
"11/1988";1988;11;0,03479;0,12552;0,17518;0,07108;-0,0246;0,08167;0,00575;-0,04217;-0,03927;-0,09768;-0,13247;0,0042
"12/1988";1988;12;0,03234;0,126;0,17395;0,0716;-0,02556;0,08576;0,00425;-0,04321;-0,0416;-0,10225;-0,13459;0,0042
"1/1989";1989;1;0,03999;0,13317;0,18191;0,07185;-0,02223;0,09084;0,01146;-0,04001;-0,03678;-0,10111;-0,1411;-0,0017
"2/1989";1989;2;0,05061;0,13467;0,18928;0,06316;-0,0213;0,08517;0,01026;-0,04371;-0,03586;-0,14542;-0,19603;0,0088
"3/1989";1989;3;0,04944;0,13391;0,18907;0,05866;-0,02323;0,08398;0,01089;-0,04518;-0,0395;-0,14754;-0,19698;0,0357
"4/1989";1989;4;0,04594;0,12701;0,18779;0,04566;-0,04219;0,06516;0,02245;-0,03888;-0,05104;-0,15449;-0,20043;0,0171
"5/1989";1989;5;0,06663;0,13881;0,18462;0,04496;-0,03947;0,06934;0,03749;-0,00973000000000001;-0,03804;-0,12842;-0,19505;0,0155
"6/1989";1989;6;0,0483;0,12771;0,18453;0,03206;-0,04417;0,06455;0,00233;-0,02839;-0,04654;-0,15442;-0,20272;0,0066
"7/1989";1989;7;-0,08882;0,12208;-0,01477;0,04299;0,19984;0,21635;0,02226;0,10356;-0,21073;-0,21139;-0,12257;0,0538
