"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1"
"1/1986";1986;1;0,0615;0,18498;0,13421;-0,21989;-0,0816;0,02859;-0,1963;0,01864;-0,25018;0,33353;0,27203
"2/1986";1986;2;0,11523;0,11887;0,13292;-0,28221;-0,13899;0,02122;-0,18104;-0,00251999999999998;-0,33657;0,31358;0,19835
"3/1986";1986;3;0,09882;0,09712;0,11563;-0,2912;-0,16614;0,02249;-0,21229;-0,01189;-0,3263;0,302;0,20318
"4/1986";1986;4;0,10314;0,13313;0,11698;-0,23343;-0,14037;-0,00630000000000002;-0,24352;-0,0324;-0,32376;0,37847;0,27533
"5/1986";1986;5;0,22641;0,18922;0,11577;-0,20265;-0,11635;-0,12764;-0,2533;0,01656;-0,285;0,3395;0,11309
"6/1986";1986;6;0,25911;0,17635;0,10893;-0,16909;-0,11719;-0,11438;-0,21919;0,01776;-0,27057;0,35124;0,09213
"7/1986";1986;7;0,24375;0,15695;0,06615;-0,2097;-0,14293;-0,13307;-0,22378;0,01039;-0,24807;0,32454;0,0807899999999999
"8/1986";1986;8;0,35605;0,04417;0,02546;-0,30188;-0,23556;-0,29565;-0,28385;-0,05484;-0,26155;0,27453;-0,0815199999999999
"9/1986";1986;9;0,4207;0,00991999999999999;0,09556;-0,26527;-0,27317;-0,31407;-0,30395;-0,0691;-0,23737;0,28663;-0,13407
"10/1986";1986;10;0,43695;-0,09531;0,0357;-0,33192;-0,35204;-0,36759;-0,40989;-0,09485;-0,28433;0,25246;-0,18449
"11/1986";1986;11;0,40983;-0,08576;0,01732;-0,33091;-0,35893;-0,33199;-0,40646;-0,10172;-0,28385;0,24535;-0,16448
"12/1986";1986;12;0,41819;-0,05165;0,05584;-0,30759;-0,32061;-0,32192;-0,38202;-0,08594;-0,28069;0,27954;-0,13865
"1/1987";1987;1;0,41671;-0,0492;0,06992;-0,2927;-0,30372;-0,31284;-0,36946;-0,07227;-0,25953;0,29494;-0,12177
"2/1987";1987;2;0,33293;-0,06391;0,08598;-0,26898;-0,28077;-0,28525;-0,35542;-0,04171;-0,25886;0,30791;-0,02502
"3/1987";1987;3;0,32157;-0,10097;0,08644;-0,26584;-0,29309;-0,3015;-0,37395;-0,04752;-0,26389;0,30594;-0,01563
"4/1987";1987;4;0,32603;-0,11182;0,06712;-0,29168;-0,31704;-0,33383;-0,40293;-0,07228;-0,28212;0,29178;-0,0342500000000001
"5/1987";1987;5;0,32818;-0,04968;0,08279;-0,24251;-0,27438;-0,26226;-0,35109;-0,01333;-0,21849;0,34034;0,01216
"6/1987";1987;6;0,30316;-0,0486;0,08277;-0,23125;-0,26802;-0,24716;-0,34001;-0,01826;-0,22038;0,34504;0,04188
"7/1987";1987;7;0,27831;-0,04307;0,06831;-0,22891;-0,25413;-0,23338;-0,35341;-0,01983;-0,22019;0,34589;0,06758
"8/1987";1987;8;0,27895;-0,04328;0,06864;-0,22924;-0,25674;-0,23559;-0,35602;-0,0204;-0,22059;0,34352;0,0645700000000001
"9/1987";1987;9;0,25803;-0,01239;0,07495;-0,20176;-0,25782;-0,22698;-0,3413;0,01503;-0,19231;0,35742;0,09939
"10/1987";1987;10;0,29546;-0,04264;0,06555;-0,20072;-0,26039;-0,23302;-0,30399;-0,0116;-0,17338;0,37378;0,07832
"11/1987";1987;11;0,30262;-0,07669;0,05298;-0,30832;-0,42908;-0,40717;-0,46394;-0,05868;-0,1894;0,18289;-0,11973
"12/1987";1987;12;0,24635;-0,01181;0,12352;-0,30043;-0,40256;-0,36973;-0,44861;-0,0577;-0,1235;0,25239;0,00604000000000002
"1/1988";1988;1;0,24391;0,00784999999999999;0,146;-0,29323;-0,37989;-0,35647;-0,44187;-0,04118;-0,12635;0,27493;0,03102
"2/1988";1988;2;0,26236;0,00195000000000002;0,14331;-0,27577;-0,38671;-0,38274;-0,44676;-0,08134;-0,15312;0,27986;0,0175
"3/1988";1988;3;0,28801;0,0278;0,14107;-0,3064;-0,46479;-0,41306;-0,44857;-0,03199;-0,1223;0,23185;-0,05616
"4/1988";1988;4;0,37462;0,06443;0,18422;-0,26381;-0,40874;-0,36595;-0,37214;-0,04361;-0,14871;0,20455;-0,17007
"5/1988";1988;5;0,38024;0,05787;0,17761;-0,28464;-0,41179;-0,38144;-0,37577;-0,04308;-0,15175;0,20742;-0,17282
"6/1988";1988;6;0,34707;-0,02636;0,15433;-0,38176;-0,50527;-0,47105;-0,48863;-0,07508;-0,15565;0,13402;-0,21305
"7/1988";1988;7;0,3551;0,00580999999999999;0,1628;-0,38123;-0,49444;-0,46392;-0,48689;-0,06869;-0,13516;0,14352;-0,21158
"8/1988";1988;8;0,37428;-0,0239;0,15237;-0,43705;-0,51706;-0,48468;-0,55405;-0,09747;-0,17604;0,17591;-0,19837
"9/1988";1988;9;0,40243;-0,04604;0,09172;-0,44597;-0,54661;-0,53266;-0,60798;-0,13428;-0,20512;0,13158;-0,27085
"10/1988";1988;10;0,41934;-0,06515;0,09599;-0,46087;-0,56541;-0,55922;-0,63387;-0,17499;-0,2156;0,12481;-0,29453
"11/1988";1988;11;0,39784;-0,04957;0,11075;-0,44692;-0,56812;-0,55675;-0,60099;-0,17881;-0,12289;0,13715;-0,26069
"12/1988";1988;12;0,4209;-0,07297;0,11273;-0,44641;-0,54919;-0,53758;-0,58022;-0,1888;-0,09644;0,17692;-0,24398
"1/1989";1989;1;0,4222;-0,05895;0,13859;-0,43929;-0,52536;-0,51808;-0,56485;-0,17485;-0,09811;0,18376;-0,23844
"2/1989";1989;2;0,37155;-0,00872000000000001;0,17162;-0,37967;-0,4731;-0,47117;-0,52694;-0,14322;-0,07388;0,20609;-0,16546
"3/1989";1989;3;0,34395;-0,01602;0,16072;-0,40085;-0,46719;-0,47949;-0,55315;-0,15636;-0,08726;0,19833;-0,14562
"4/1989";1989;4;0,35699;-0,01995;0,14812;-0,4097;-0,46668;-0,4779;-0,55699;-0,15784;-0,09807;0,19341;-0,16358
"5/1989";1989;5;0,34968;-0,02828;0,14373;-0,41619;-0,48822;-0,48861;-0,55381;-0,16568;-0,10047;0,16908;-0,1806
"6/1989";1989;6;0,34452;-0,03627;0,13636;-0,41829;-0,5011;-0,4953;-0,55859;-0,17232;-0,10157;0,16289;-0,18163
"7/1989";1989;7;0,3193;-0,05028;0,14714;-0,41512;-0,51516;-0,48598;-0,55201;-0,15828;-0,1024;0,14839;-0,17091
"8/1989";1989;8;0,30354;-0,03606;0,09168;-0,3721;-0,46253;-0,48127;-0,4715;-0,19213;-0,06183;0,11594;-0,1876
"9/1989";1989;9;0,29067;-0,04674;0,08624;-0,37549;-0,47341;-0,4842;-0,48826;-0,19462;-0,05085;0,11308;-0,17759
"10/1989";1989;10;0,27128;-0,04617;0,08856;-0,38175;-0,49692;-0,47982;-0,50628;-0,18585;-0,07014;0,14036;-0,13092
"11/1989";1989;11;0,24154;-0,053;0,06796;-0,38335;-0,48192;-0,49517;-0,49191;-0,2007;-0,04377;0,12759;-0,11395
"12/1989";1989;12;0,22943;-0,06303;0,03986;-0,38013;-0,49014;-0,49894;-0,49004;-0,19942;-0,03089;0,11619;-0,11324
"1/1990";1990;1;0,20127;-0,06625;0,02917;-0,39621;-0,48542;-0,50415;-0,50356;-0,20734;-0,10247;0,10073;-0,10054
"2/1990";1990;2;0,22489;-0,05717;0,02092;-0,38561;-0,49053;-0,51831;-0,50531;-0,19632;-0,1124;0,07051;-0,15438
"3/1990";1990;3;0,23715;-0,05343;0,00224999999999997;-0,37153;-0,47899;-0,5069;-0,50795;-0,2048;-0,10317;0,06386;-0,17329
"4/1990";1990;4;0,23703;-0,0562;0,00174000000000001;-0,38463;-0,4871;-0,5066;-0,51266;-0,20295;-0,09117;0,05679;-0,18024
"5/1990";1990;5;0,26769;-0,02113;0,01448;-0,36954;-0,47809;-0,50166;-0,49828;-0,21909;-0,09716;0,0314;-0,23629
"6/1990";1990;6;0,24071;-0,01751;0,0278799999999999;-0,37096;-0,47274;-0,49298;-0,49255;-0,1938;-0,06719;0,07668;-0,16403
"7/1990";1990;7;0,23759;-0,0274;0,04209;-0,36868;-0,47645;-0,49452;-0,47952;-0,20645;-0,07618;0,08024;-0,15735
"8/1990";1990;8;0,18566;-0,01939;0,0555;-0,32423;-0,47673;-0,49421;-0,4632;-0,18122;-0,04903;0,09639;-0,08927
"9/1990";1990;9;0,15907;-0,02052;0,06113;-0,2967;-0,43762;-0,465;-0,45461;-0,16855;-0,04333;0,07624;-0,08283
"10/1990";1990;10;0,12522;-0,0372;0,03722;-0,3048;-0,44064;-0,48186;-0,47012;-0,17044;-0,04059;0,069;-0,05622
