;annee;mois;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P10P1;marche;rf
juil-85;1985;7;0,00797;-0,019519;-0,025611;-0,060143;-0,037443;-0,033961;-0,042755;-0,029536;-0,033268;-0,024511;-0,032481;-3,00E-04;0,0062
ao�t-85;1985;8;0,02687;-0,0183;-0,002476;0,024871;0,02942;0,014902;0,02758;0,01915;0,002236;0,026444;-0,000426;-0,0048;0,0055
sept-85;1985;9;-0,04588;-0,005505;-0,058656;-0,04349;-0,04633;-0,093874;-0,071417;-0,034451;-0,048662;-0,029695;0,016185;-0,0398;0,006
oct-85;1985;10;-0,04919;0,020663;0,01953;0,084065;0,056962;0,075898;0,056364;0,028721;0,048514;0,043998;0,093188;0,0444;0,0065
nov-85;1985;11;0,085825;0,055488;0,05207;0,043703;0,038935;0,053157;0,035554;0,086715;0,039641;0,037215;-0,04861;0,0692;0,0061
d�c-85;1985;12;0,050242;0,060009;0,027157;0,052208;0,069447;0,040745;0,060678;0,032097;0,013802;-0,007869;-0,058111;0,0431;0,0065
janv-86;1986;1;-0,0516;0,043448;0,074675;0,043923;0,035222;0,016404;0,029008;0,014777;0,024574;0,079668;0,131268;0,0098;0,0056
f�vr-86;1986;2;0,071864;0,069333;0,038307;0,084484;0,083972;0,058438;0,082029;0,0658;0,069932;0,073016;0,001152;0,0725;0,0053
mars-86;1986;3;0,046135;0,037376;0,048751;0,009673;0,064578;0,050799;0,043183;0,041486;0,044203;0,015468;-0,030667;0,0539;0,006
avr-86;1986;4;-0,043231;-0,006016;-0,055086;0,022557;-0,012949;-0,065267;-0,023897;0,008479;-0,004005;-0,027926;0,015305;-0,0079;0,0052
mai-86;1986;5;-0,02012;0,066003;0,037345;0,014718;0,033023;0,032384;0,017091;0,032825;0,021674;0,032289;0,052409;0,0508;0,0049
juin-86;1986;6;0,041725;0,033971;0,061214;0,069486;0,045027;0,042847;0,039869;0,024763;0,022592;0,057251;0,015526;0,0142;0,0052
juil-86;1986;7;-0,090949;0,013403;0,05438;0,052032;0,072402;0,046461;0,043838;0,039691;0,024244;-0,010544;0,080405;-0,0597;0,0052
ao�t-86;1986;8;0,08659;0,092575;0,0414;0,069717;0,085876;0,067226;0,045592;0,047564;0,046262;0,038654;-0,047936;0,0662;0,0046
sept-86;1986;9;-0,021013;-0,089766;-0,071293;-0,091441;-0,102004;-0,077584;-0,083834;-0,070464;-0,07266;-0,060758;-0,039745;-0,079;0,0045
oct-86;1986;10;0,009309;0,057278;0,018495;0,047817;0,037426;0,041774;0,03528;0,079619;0,038632;0,046818;0,037509;0,0493;0,0046
nov-86;1986;11;-0,016007;0,010793;0,025844;-0,010587;0,019928;-0,014706;-0,013251;0,005949;0,016254;-0,026345;-0,010338;0,0151;0,0039
