"";"annee";"mois";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P10P1";"marche";"rf"
"7/1985";1985;7;0,054614331;-0,061887826;-0,032654622;-0,071433362;-0,054687633;-0,033970937;-0,020871851;-0,036803767;-0,040053013;-0,001436435;-0,056050766;-3e-04;0,0062
"8/1985";1985;8;-0,002886;0,006295;0,015911;0,019554;0,030377;0,035123;0,003841;0,016486;0,00505;0,020946;0,023832;-0,0048;0,0055
"9/1985";1985;9;-0,000723999999999998;-0,045205;-0,062133;-0,043179;-0,050986;-0,052357;-0,041605;-0,042442;-0,043945;-0,095384;-0,09466;-0,0398;0,006
"10/1985";1985;10;0,033194772;0,035652312;0,041683275;0,068569362;0,054158787;0,064945989;0,051684264;0,025413561;0,028215756;-0,018415397;-0,051610169;0,0444;0,0065
"11/1985";1985;11;0,011445;0,074048;0,05408;0,038419;0,026299;0,062314;0,038353;0,042988;0,03934;0,141017;0,129572;0,0692;0,0061
"12/1985";1985;12;0,063265;0,043636;0,051233;0,044481;0,047314;0,024515;0,072402;0,039435;0,014892;-0,002657;-0,065922;0,0431;0,0065
"1/1986";1986;1;-0,141056916;-0,000922922000000002;0,028448523;0,046194759;0,028618353;0,025400574;0,059538402;0,053492454;0,068080851;0,141711147;0,282768063;0,0098;0,0056
"2/1986";1986;2;0,02419;0,042126;0,069851;0,069293;0,091225;0,074421;0,071291;0,075142;0,086816;0,09282;0,06863;0,0725;0,0053
"3/1986";1986;3;-0,015635;0,022219;0,00802;0,015589;0,025979;0,067789;0,049378;0,062257;0,058706;0,10735;0,122985;0,0539;0,006
"4/1986";1986;4;-0,00891090200000001;0,020836143;-0,000786785999999999;-0,043249206;-0,018395377;-0,015090075;-0,04842838;-0,033428395;-0,039874835;-0,020262242;-0,01135134;-0,0079;0,0052
"5/1986";1986;5;0,017325;0,018235;0,000648;0,04645;0,028424;0,035459;0,03706;0,033457;0,039439;0,010735;-0,00659;0,0508;0,0049
"6/1986";1986;6;0,023282;0,040032;0,024811;0,073329;0,042656;0,051672;0,085067;0,041955;0,057317;-0,001376;-0,024658;0,0142;0,0052
"7/1986";1986;7;-0,068906838;0,057721221;0,037806156;0,001534464;0,054474471;0,010327662;0,059034906;0,097810092;0,02893104;-0,034226192;0,034680646;-0,0597;0,0052
"8/1986";1986;8;0,044173;0,055801;0,057769;0,070807;0,054909;0,066506;0,066366;0,073401;0,079427;0,052297;0,00812400000000001;0,0662;0,0046
"9/1986";1986;9;-0,058541;-0,067135;-0,07167;-0,067814;-0,088802;-0,068183;-0,108412;-0,101971;-0,079189;-0,0291;0,029441;-0,079;0,0045
"10/1986";1986;10;0,012444543;0,015433551;0,057590352;0,004881114;0,023981994;0,065436498;0,059017923;0,06901092;0,038340621;0,065898036;0,053453493;0,0493;0,0046
"11/1986";1986;11;0,006687;0,00345;0,007782;0,006222;-0,003859;-0,031981;0,020014;-0,004518;-0,014761;0,008836;0,002149;0,0151;0,0039
"12/1986";1986;12;-0,037039;-0,01022;-0,055962;-0,056011;-0,025238;-0,034516;-0,055109;-0,03857;-0,047292;-0,031569;0,00547;-0,0264;0,0049
"1/1987";1987;1;0,032978988;0,027731241;0,055258686;0,083870046;0,084798117;0,088584327;0,07959033;0,076834089;0,10931058;0,190572237;0,157593249;0,1285;0,0042
"2/1987";1987;2;-0,069977;-0,018772;-0,015399;-0,027212;-0,023733;-0,000769999999999999;0,006355;0,042236;0,048711;0,062152;0,132129;0,0479;0,0043
"3/1987";1987;3;-0,025431;-0,030476;-0,040942;-0,034586;-0,014365;-0,019717;0,002192;-0,000757999999999999;0,00741;0,079614;0,105045;0,0237;0,0047
"4/1987";1987;4;-0,015018003;-0,025569544;-0,045036992;-0,09007999;-0,035418383;-0,058200142;-0,067536469;-0,044807763;-0,062227165;-0,045884839;-0,030866836;-0,017;0,0044
"5/1987";1987;5;0,000220999999999999;0,007002;-0,026141;-0,007899;-0,0031;-0,039148;-0,011298;0,025064;-0,011451;0,05517;0,054949;0,0051;0,0038
"6/1987";1987;6;0,044111;0,033896;0,017628;0,043557;0,025539;0,029669;0,031523;0,033465;0,03233;0,098045;0,053934;0,0437;0,0048
"7/1987";1987;7;0,011934054;-0,025600575;-0,01837836;-0,013318305;0,010994994;-0,018729711;-0,008822814;0,015028956;0,064830105;0,08053938;0,068605326;0,0442;0,0046
"8/1987";1987;8;0,041494;0,00592;0,039429;0,025447;0,011702;0,025076;0,031478;0,026407;0,014796;-0,003596;-0,04509;0,0371;0,0047
"9/1987";1987;9;-0,008413;-0,010241;-0,031245;-0,024629;-0,021692;-0,008097;-0,028992;-0,030232;-0,064865;-0,027478;-0,019065;-0,0208;0,0045
"10/1987";1987;10;-0,059101042;-0,153024872;-0,080086006;-0,0701701;-0,086375289;-0,068204136;-0,106727621;-0,179790611;-0,232374142;-0,27210183;-0,213000788;-0,2254;0,006
"11/1987";1987;11;-0,070724;-0,042626;0,021337;-0,043909;-0,003764;-0,005845;0,015502;-0,045944;-0,056106;-0,021404;0,04932;-0,0723;0,0035
"12/1987";1987;12;0,010892;0,004108;0,009704;0,021444;-0,014391;0,000671;-0,011385;-0,004267;0,047896;0,049971;0,039079;0,0703;0,0039
"1/1988";1988;1;0,010675314;0,093321585;0,070316613;0,082202715;0,062423514;0,066107826;0,080021898;0,094603302;0,138991869;0,106402491;0,095727177;0,0449;0,0029
"2/1988";1988;2;-0,037469;-0,028497;-0,009524;0,014395;0,013936;0,043422;0,060024;0,057832;0,044505;0,111946;0,149415;0,0517;0,0046
"3/1988";1988;3;-0,030924;-0,049177;-0,025251;-0,045816;-0,014148;-0,02638;-0,014489;0,0258;0,032381;0,051949;0,082873;-0,0166;0,0044
"4/1988";1988;4;-0,009356347;-0,020355335;-0,018841823;0,00825174;0,02492505;0,011890098;-0,000269269;0,020785194;-0,00456756300000001;0,006467526;0,015823873;0,011;0,0046
"5/1988";1988;5;0,018345;0,029587;0,022379;0,03716;0,019324;0,003238;0,008244;0,027423;0,015604;0,001225;-0,01712;4e-04;0,0051
"6/1988";1988;6;0,059082;0,028048;0,0242;0,01428;0,032127;0,048796;0,032335;0,065751;0,085033;0,041775;-0,017307;0,0515;0,0049
